Данные прогрева незащищенной стальной контрукции
""
Режим пожара: Стандартный
ПТМ: 6.5
""
Время, с;Тв, С;Тст, С
869;733;621.5847505141567
870;734;622.0113776962653
871;734;622.4372251850679
872;734;622.862294124608
873;734;623.2865856606478
874;734;623.7101009406464
875;734;624.1328411137376
876;735;624.5548073307092
877;735;624.9760007439808
878;735;625.3964225075827
879;735;625.8160737771346
880;735;626.2349557098244
881;735;626.6530694643864
882;736;627.0704162010809
883;736;627.4869970816729
884;736;627.9028132694109
885;736;628.3178659290062
886;736;628.7321562266118
887;736;629.145685329802
888;737;629.5584544075512
889;737;629.9704646302137
890;737;630.3817171695027
891;737;630.7922131984704
892;737;631.201953891487
893;737;631.6109404242204
894;738;632.0191739736163
895;738;632.4266557178773
896;738;632.8333868364438
897;738;633.2393685099727
898;738;633.6446019203182
899;738;634.0490882505119
900;739;634.4528286847424
901;739;634.8558244083358
902;739;635.2580766077363
903;739;635.6595864704859
904;739;636.0603551852054
905;739;636.4603839415745
906;740;636.8596739303127
907;740;637.2582263431599
908;740;637.6560423728566
909;740;638.0531232131254
910;740;638.4494700586516
911;740;638.8450841050641
912;741;639.2399665489162
913;741;639.634118587667
914;741;640.0275414196626
915;741;640.4202362441171
916;741;640.8122042610938
917;741;641.2034466714871
918;742;641.5939646770032
919;742;641.9837594801425
920;742;642.3728322841803
921;742;642.7611842931492
922;742;643.1488167118205
923;742;643.535730745686
924;742;643.92192760094
925;743;644.307408484461
926;743;644.6921746037943
927;743;645.0762271671337
928;743;645.4595673833035
929;743;645.8421964617414
930;743;646.2241156124802
931;744;646.6053260461307
932;744;646.9858289738637
933;744;647.3656256073929
934;744;647.7447171589575
935;744;648.123104841305
936;744;648.5007898676736
937;745;648.8777734517753
938;745;649.2540568077789
939;745;649.629641150293
940;745;650.0045276943489
941;745;650.3787176553839
942;745;650.7522122492245
943;745;651.1250126920696
944;746;651.4971202004741
945;746;651.8685359913322
946;746;652.2392612818609
947;746;652.6092972895834
948;746;652.9786452323135
949;746;653.3473063281385
950;747;653.7152817954036
951;747;654.0825728526954
952;747;654.4491807188261
953;747;654.8151066128177
954;747;655.1803517538855
955;747;655.5449173614231
956;748;655.9088046549862
957;748;656.2720148542769
958;748;656.6345491791284
959;748;656.9964088494892
960;748;657.3575950854078
961;748;657.7181091070174
962;748;658.0779521345207
963;749;658.4371253881743
964;749;658.7956300882739
965;749;659.1534674551392
966;749;659.5106387090987
967;749;659.867145070475
968;749;660.2229877595701
969;750;660.5781679966501
970;750;660.9326870019311
971;750;661.286545995564
972;750;661.6397461976206
973;750;661.9922888280787
974;750;662.3441751068076
975;750;662.6954062535542
976;751;663.0459834879284
977;751;663.3959080293891
978;751;663.74518109723
979;751;664.0938039105655
980;751;664.441777688317
981;751;664.7891036491986
982;752;665.135783011704
983;752;665.4818169940918
984;752;665.8272068143726
985;752;666.1719536902951
986;752;666.5160588393327
987;752;666.8595234786696
988;752;667.2023488251883
989;753;667.5445360954556
990;753;667.8860865057094
991;753;668.2270012718458
992;753;668.567281609406
993;753;668.9069287335632
994;753;669.2459438591095
995;753;669.5843282004433
996;754;669.9220829715565
997;754;670.2592093860214
998;754;670.5957086569787
999;754;670.931581997124
1000;754;671.2668306186963
1001;754;671.601455733465
1002;755;671.9354585527173
1003;755;672.2688402872465
1004;755;672.6016021473393
1005;755;672.9337453427643
1006;755;673.2652710827588
1007;755;673.5961805760178
1008;755;673.9264750306817
1009;756;674.2561556543243
1010;756;674.5852236539412
1011;756;674.913680235938
1012;756;675.2415266061187
1013;756;675.5687639696738
1014;756;675.8953935311692
1015;756;676.2214164945348
1016;757;676.5468340630523
1017;757;676.871647439345
1018;757;677.1958578253658
1019;757;677.5194664223862
1020;757;677.8424744309856
1021;757;678.1648830510395
1022;757;678.4866934817093
1023;758;678.8079069214308
1024;758;679.1285245679039
1025;758;679.4485476180814
1026;758;679.7679772681585
1027;758;680.0868147135621
1028;758;680.4050611489406
1029;758;680.7227177681527
1030;759;681.0397857642579
1031;759;681.3562663295052
1032;759;681.6721606553234
1033;759;681.987469932311
1034;759;682.3021953502256
1035;759;682.616338097974
1036;759;682.9298993636023
1037;760;683.2428803342859
1038;760;683.5552821963195
1039;760;683.8671061351073
1040;760;684.1783533351536
1041;760;684.4890249800526
1042;760;684.799122252479
1043;760;685.1086463341787
1044;761;685.417598405959
1045;761;685.7259796476792
1046;761;686.0337912382414
1047;761;686.3410343555811
1048;761;686.647710176658
1049;761;686.953819877447
1050;761;687.2593646329289
1051;762;687.5643456170811
1052;762;687.8687640028696
1053;762;688.1726209622392
1054;762;688.4759176661047
1055;762;688.7786552843427
1056;762;689.0808349857824
1057;762;689.3824579381973
1058;763;689.6835253082961
1059;763;689.984038261715
1060;763;690.2839979630083
1061;763;690.5834055756409
1062;763;690.8822622619792
1063;763;691.1805691832835
1064;763;691.4783274996994
1065;764;691.7755383702495
1066;764;692.0722029528259
1067;764;692.3683224041819
1068;764;692.6638978799235
1069;764;692.9589305345027
1070;764;693.2534215212083
1071;764;693.5473719921595
1072;765;693.8407830982968
1073;765;694.1336559893756
1074;765;694.4259918139578
1075;765;694.7177917194047
1076;765;695.0090568518691
1077;765;695.2997883562884
1078;765;695.589987376377
1079;766;695.8796550546191
1080;766;696.1687925322611
1081;766;696.457400949305
1082;766;696.7454814445009
1083;766;697.0330351553403
1084;766;697.3200632180485
1085;766;697.6065667675784
1086;766;697.8925469376032
1087;767;698.1780048605096
1088;767;698.4629416673912
1089;767;698.7473584880414
1090;767;699.0312564509476
1091;767;699.3146366832835
1092;767;699.5975003109037
1093;767;699.8798484583363
1094;768;700.161682248777
1095;768;700.4430028040827
1096;768;700.7238112447649
