Данные прогрева незащищенной стальной контрукции
""
Режим пожара: Стандартный
ПТМ: 4.8
""
Время, с;Тв, С;Тст, С
909;740;682.1171195491104
910;740;682.4301947351092
911;740;682.7425841869432
912;741;683.054289862168
913;741;683.365313714518
914;741;683.6756576938957
915;741;683.9853237463622
916;741;684.2943138141272
917;741;684.6026298355401
918;742;684.91027374508
919;742;685.2172474733464
920;742;685.5235529470511
921;742;685.8291920890083
922;742;686.1341668181262
923;742;686.4384790493989
924;742;686.7421306938973
925;743;687.0451236587613
926;743;687.3474598471919
927;743;687.6491411584425
928;743;687.9501694878119
929;743;688.2505467266363
930;743;688.5502747622821
931;744;688.8493554781381
932;744;689.1477907536089
933;744;689.4455824641075
934;744;689.7427324810487
935;744;690.0392426718422
936;744;690.335114899886
937;745;690.6303510245601
938;745;690.9249529012204
939;745;691.2189223811922
940;745;691.5122613117643
941;745;691.8049715361832
942;745;692.0970548936476
943;745;692.3885132193027
944;746;692.6793483442344
945;746;692.9695620954648
946;746;693.2591562959461
947;746;693.5481327645566
948;746;693.8364933160951
949;746;694.1242397612764
950;747;694.4113739067266
951;747;694.6978975549788
952;747;694.9838125044688
953;747;695.2691205495306
954;747;695.5538234803927
955;747;695.8379230831737
956;748;696.1214211398789
957;748;696.4043194283964
958;748;696.6866197224939
959;748;696.9683237918146
960;748;697.2494334018743
961;748;697.5299503140583
962;748;697.8098762856182
963;749;698.0892130696691
964;749;698.3679624151864
965;749;698.6461260670037
966;749;698.9237057658097
967;749;699.2007032481459
968;749;699.4771202464046
969;750;699.7529584888262
970;750;700.0282196994972
971;750;700.3029055983485
972;750;700.5770179011533
973;750;700.8505583195256
974;750;701.123528560918
975;750;701.3959303286207
976;751;701.66776532176
977;751;701.9390352352968
978;751;702.2097417600255
979;751;702.4798865825729
980;751;702.7494713853974
981;751;703.0184978467879
982;752;703.286967640863
983;752;703.5548824375707
984;752;703.8222439026871
985;752;704.089053697817
986;752;704.3553134803927
987;752;704.6210249036743
988;752;704.886189616749
989;753;705.1508092645316
990;753;705.4148854877643
991;753;705.6784199230168
992;753;705.9414142026868
993;753;706.2038699550002
994;753;706.4657888040114
995;753;706.7271723696041
996;754;706.9880222674919
997;754;707.248340109219
998;754;707.508127502161
999;754;707.7673860495256
1000;754;708.0261173503544
1001;754;708.284322999523
1002;755;708.542004587743
1003;755;708.7991637015626
1004;755;709.0558019233688
1005;755;709.311920831388
1006;755;709.5675219996882
1007;755;709.8226069981804
1008;755;710.0771773926201
1009;756;710.3312347446098
1010;756;710.5847806116
1011;756;710.8378165468918
1012;756;711.0903440996389
